"strata","year","p_100","Model","APC","Joinpoints","Final Selected Model"
"18 to 44",2008.000000000,0.539287622,0.482336574,0.61,0,0
"18 to 44",2009.000000000,0.442375392,0.485269301,0.61,0,0
"18 to 44",2010.000000000,0.492450639,0.488219860,0.61,0,0
"18 to 44",2011.000000000,0.564314157,0.491188360,0.61,0,0
"18 to 44",2012.000000000,0.480087464,0.494174908,0.61,0,0
"18 to 44",2013.000000000,0.431343044,0.497179616,0.61,0,0
"18 to 44",2014.000000000,0.508591110,0.500202592,0.61,0,0
"18 to 44",2015.000000000,0.474095042,0.503243950,0.61,0,0
"18 to 44",2016.000000000,0.492755300,0.506303799,0.61,0,0
"18 to 44",2017.000000000,0.486283196,0.509382253,0.61,0,0
"18 to 44",2018.000000000,0.505132154,0.512479425,0.61,0,0
"18 to 44",2019.000000000,0.538913244,0.515595429,0.61,0,0
"18 to 44",2020.000000000,0.568303530,0.518730378,0.61,0,0
"45 to 64",2008.000000000,0.538663367,0.532647034,1.19*,0,0
"45 to 64",2009.000000000,0.553705004,0.539004138,1.19*,0,0
"45 to 64",2010.000000000,0.548111571,0.545437113,1.19*,0,0
"45 to 64",2011.000000000,0.552470038,0.551946865,1.19*,0,0
"45 to 64",2012.000000000,0.537343084,0.558534311,1.19*,0,0
"45 to 64",2013.000000000,0.564863328,0.565200377,1.19*,0,0
"45 to 64",2014.000000000,0.539361688,0.571946002,1.19*,0,0
"45 to 64",2015.000000000,0.599711506,0.578772136,1.19*,0,0
"45 to 64",2016.000000000,0.591382439,0.585679739,1.19*,0,0
"45 to 64",2017.000000000,0.577690718,0.592669784,1.19*,0,0
"45 to 64",2018.000000000,0.606673990,0.599743255,1.19*,0,0
"45 to 64",2019.000000000,0.615886988,0.606901147,1.19*,0,0
"45 to 64",2020.000000000,0.619161644,0.614144468,1.19*,0,0
"65 to 74",2008.000000000,0.541494637,0.540565232,1.74*,0,0
"65 to 74",2009.000000000,0.566813011,0.549980900,1.74*,0,0
"65 to 74",2010.000000000,0.588052271,0.559560572,1.74*,0,0
"65 to 74",2011.000000000,0.569532060,0.569307104,1.74*,0,0
"65 to 74",2012.000000000,0.520038227,0.579223403,1.74*,0,0
"65 to 74",2013.000000000,0.588664721,0.589312427,1.74*,0,0
"65 to 74",2014.000000000,0.574011575,0.599577183,1.74*,0,0
"65 to 74",2015.000000000,0.621582002,0.610020732,1.74*,0,0
"65 to 74",2016.000000000,0.673631633,0.620646189,1.74*,0,0
"65 to 74",2017.000000000,0.585696156,0.631456723,1.74*,0,0
"65 to 74",2018.000000000,0.656981661,0.642455556,1.74*,0,0
"65 to 74",2019.000000000,0.679251225,0.653645969,1.74*,0,0
"65 to 74",2020.000000000,0.654662256,0.665031299,1.74*,0,0
"75+",2008.000000000,0.505442224,0.467510002,2.13*,0,0
"75+",2009.000000000,0.498193404,0.477471089,2.13*,0,0
"75+",2010.000000000,0.487132761,0.487644413,2.13*,0,0
"75+",2011.000000000,0.470497706,0.498034497,2.13*,0,0
"75+",2012.000000000,0.483041976,0.508645960,2.13*,0,0
"75+",2013.000000000,0.460751077,0.519483517,2.13*,0,0
"75+",2014.000000000,0.497879102,0.530551987,2.13*,0,0
"75+",2015.000000000,0.609776029,0.541856289,2.13*,0,0
"75+",2016.000000000,0.598312977,0.553401448,2.13*,0,0
"75+",2017.000000000,0.536758537,0.565192597,2.13*,0,0
"75+",2018.000000000,0.552746004,0.577234975,2.13*,0,0
"75+",2019.000000000,0.646530342,0.589533937,2.13*,0,0
"75+",2020.000000000,0.589687016,0.602094949,2.13*,0,0
